id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3205312007,Garut,Bojong,7.44198103,107.61879,3,7,2,2,0,7,1,0,4,0,4,0,0,2,0,10,15,0,0,26,1,0
3205312005,Garut,Mekarbakti,7.43757098,107.60205,4,5,2,2,0,8,1,0,0,0,3,0,0,0,20,0,194,0,0,147,1,0
3205312012,Garut,Gunung Jampang,7.3654584,107.622892,2,2,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,3,106,0,0
3205312013,Garut,Hegarmanah,7.47007783,107.596722,4,3,0,0,0,7,0,0,0,0,37,0,0,0,0,0,4,0,0,16,0,0
3205322002,Garut,Karangwangi,7.54108901,107.526633,3,4,1,1,0,8,1,0,0,0,2,0,0,0,0,0,137,2,0,34,1,1
3205322004,Garut,Cijayana,7.55047542,107.56726,3,4,1,1,1,9,1,0,0,0,12,0,0,0,0,0,6,0,0,18,2,1
3205322001,Garut,Mekarmukti,7.50369945,107.579162,6,3,3,2,0,12,1,0,0,0,15,0,0,0,0,0,0,0,0,47,1,1
3205322003,Garut,Jagabaya,7.55499695,107.579474,1,2,1,1,0,8,0,1,0,0,1,0,0,0,0,0,225,0,0,7,0,0
3205322005,Garut,Mekarsari,7.50598251,107.575224,4,2,2,0,0,6,0,0,0,0,6,0,0,0,0,0,50,0,1,36,0,0
3205342005,Garut,Linggarjati,7.41222099,107.65861,1,2,1,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,1,32,0,1
3205342002,Garut,Garumukti,7.40889004,107.678889,3,3,1,0,0,9,1,0,0,0,2,0,0,0,0,0,0,0,4,10,0,3
3205342003,Garut,Panawa,7.37027869,107.674444,3,2,2,0,0,8,1,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0
3205342001,Garut,Pakenjeng,7.41174833,107.690184,2,4,1,0,0,12,2,0,0,0,22,0,0,0,0,0,0,0,5,8,1,1
3205342004,Garut,Pananjung,7.39662751,107.721345,2,3,0,1,0,7,1,0,0,0,12,0,0,0,0,0,0,0,3,14,0,2
3205332012,Garut,Karangsari,7.57628915,107.617742,3,3,1,1,0,9,1,0,0,0,10,0,0,0,0,0,0,0,0,52,0,1
3205332003,Garut,Tanjungmulya,7.52497828,107.612449,0,3,2,0,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,26,0,0
3205332002,Garut,Tanjungjaya,7.49965058,107.624399,12,5,3,3,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,76,0,2
3205332010,Garut,Tegalgede,7.4958113,107.654828,5,4,3,1,0,9,1,0,0,0,1,0,0,0,0,0,12,0,1,26,0,1
3205332001,Garut,Neglasari,7.49549916,107.667911,2,8,3,3,0,8,0,2,0,0,23,0,0,0,0,0,50,0,0,37,0,1
3205332005,Garut,Sukamulya,7.47381009,107.669022,1,6,2,1,0,7,1,4,0,0,3,0,0,0,0,0,0,0,0,25,0,1
3205332011,Garut,Depok,7.46120867,107.66388,3,9,6,5,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,63,4,5
3205332006,Garut,Pasirlangu,7.4570305,107.643489,8,7,5,3,0,7,0,3,0,0,7,0,0,0,0,0,0,0,0,28,0,7
3205332009,Garut,Panyindangan,7.43308958,107.64645,7,4,2,2,0,7,1,1,0,0,21,0,0,0,0,0,0,0,0,149,0,2
3205332004,Garut,Wangunjaya,7.43286217,107.66598,2,5,1,0,0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,20,0,0
3205332008,Garut,Jatiwangi,7.45571952,107.676321,0,5,2,2,0,8,1,1,0,0,10,0,0,0,0,0,0,0,0,47,0,2
3205332007,Garut,Talagawangi,7.45236628,107.725313,2,7,4,0,0,7,1,0,0,0,0,0,0,0,0,0,36,0,0,135,5,0
3205332013,Garut,Jayamekar,7.433589,107.699259,3,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,12
3205302004,Garut,Cigadog,7.60444392,107.653053,4,7,1,0,0,14,3,3,0,0,14,0,0,0,0,0,914,0,0,18,0,0
3205302007,Garut,Cijambe,7.61583246,107.668335,4,5,2,1,0,6,0,0,0,0,9,0,0,0,0,0,113,0,0,17,0,2
3205302001,Garut,Cikelet,7.61777663,107.511111,4,5,3,3,1,10,1,0,0,3,6,0,0,0,0,0,85,0,0,14,3,0
3205302005,Garut,Pamalayan,7.63096219,107.701818,5,6,2,2,0,10,1,0,0,0,0,0,0,0,0,0,106,0,0,12,0,2
3205302002,Garut,Linggamanik,7.52841625,107.734013,8,7,4,2,0,6,1,12,0,0,0,0,0,0,0,0,0,0,0,13,1,0
3205302006,Garut,Karangsari,7.5574985,107.705002,1,5,2,0,0,6,1,0,0,2,2,0,0,0,0,12,171,0,0,24,0,0
3205302003,Garut,Kertamukti,7.54077241,107.686648,4,4,2,1,0,10,1,1,0,0,13,0,0,0,0,0,15,0,0,6,0,0
3205302009,Garut,Ciroyom,7.57195937,107.686648,2,3,2,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0
3205302008,Garut,Girimukti,7.52191933,107.692129,1,2,2,1,0,5,0,8,0,0,0,0,0,0,0,25,10,0,0,2,0,0
3205302011,Garut,Tipar,7.57727907,107.704601,1,4,2,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0
3205302010,Garut,Awassagara,7.58271026,107.71912,1,2,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
3205272002,Garut,Mancagahar,7.64777746,107.713613,3,4,1,0,0,9,0,0,2,1,5,0,0,0,0,0,0,0,0,14,0,2
3205272001,Garut,Pameungpeuk,7.64388913,107.723057,5,8,4,5,0,16,0,0,0,0,12,0,0,0,0,0,170,0,0,46,0,4
3205272004,Garut,Mandalakasih,7.64388913,107.727779,2,5,1,0,0,14,1,0,0,0,15,0,0,0,0,75,250,0,0,15,0,3
3205272007,Garut,Sirnabakti,7.64888778,107.740554,2,4,4,3,0,14,1,0,0,0,15,0,0,0,0,0,88,0,0,48,0,1
3205272003,Garut,Paas,7.63972433,107.733335,6,5,1,0,0,13,0,0,1,1,10,0,0,0,0,0,150,0,0,42,0,6
3205272006,Garut,Bojong,7.59722017,107.752777,2,3,1,0,0,10,1,0,0,0,5,0,0,0,0,0,0,0,0,11,0,0
