ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
12560;29;32148;27;0.725947098;1;4208;0.98776455;0;0;4.7;2;1
12561;0;984;3;0.717592593;1;723;0.666666667;560;28974;2;3;1
12562;0;374;1;0.833333333;1;0;0;31;20387;1;1;0
12563;112;27640;27;0.804000197;1;14381;0.823380077;0;0;5.3;3.7;0
12564;49;23538;16;0.700145349;0.952785853;7186;0.699755796;2233;36112;5;5;1
12565;417;22051;62;0.813346792;1;4603;0.949719888;88;4726;10;8;0
12566;54;55961;38;0.719562098;0.947221477;1706;0.712982456;0;0;6;2.3;0
12567;14;2860;6;0.9;0.986111111;6481;0.983146513;1407;22126;5.7;3.7;0
12568;117;34299;23;0.94210091;0.994871795;5133;0.993055556;96;156;10.7;7;0
12569;30;24752;33;0.713994282;0.946559177;10208;0.837317751;74;120;15.3;11.7;0
12570;51;15302;21;0.60911466;1;25979;1;0;0;13.3;3.3;0
12571;0;533;2;0.833333333;0.777777778;3775;0.408749862;964;31942;4.7;2.7;0
12572;113;36770;82;0.820237537;0.977775173;6419;0.895927086;0;0;20.3;12;0
12573;12;7104;11;0.928557129;0.984126984;5950;0.987726943;2239;36931;4.3;3;0
12574;0;505;1;1;0.666666667;0;0;2958;49276;3.3;1.3;1
12575;128;47763;54;0.750091075;0.984396805;3753;0.901058201;0;0;6;1.3;1
12576;8;1194;4;0.794117647;0.852941177;118;1;3527;24864;2.3;1.3;1
12577;19;10940;17;0.902433725;1;241;1;348;565;4.7;3;0
12578;48;26131;37;0.595961081;1;22653;0.938594437;3;25533;14;5.3;0
12579;15;8522;10;0.670769666;1;35503;1;49;80;20.7;6.7;0
12580;81;18054;40;0.75675528;0.988790904;2911;0.765303215;1;4492;4;3;0
12581;242;48403;269;0.73400767;0.99733173;8133;0.966949452;25;40;24.3;6.3;0
12582;3;17761;9;0.833333333;0.75308642;1669;0.883333333;3240;39880;3.3;3.7;0
12583;111;69545;69;0.841419629;0.986123409;26331;0.976119023;818;38680;12.7;6;1
12584;69;30736;26;0.701588318;0.997474748;458;1;0;0;10;5.3;0
12585;105;195035;185;0.723779181;0.438226688;18669;0.491106228;0;0;7.7;3.7;0
12586;1;1215;2;0.782051282;1;16178;1;0;0;7;1;0
12587;396;63246;53;0.659193548;1;8158;0.990602872;0;0;6;2.3;0
12588;47;32110;16;0.78570892;0.587559162;1008;0.819444444;1599;38043;1.3;1;1
12589;6;1426;2;0.902777778;1;1746;0.984375;4088;31162;2.7;3.3;0
12590;159;24900;47;0.640284897;0.990740741;2883;0.983333333;0;0;8.7;3;0
12591;102;17164;25;0.831494432;1;7189;1;0;0;7.3;3.7;0
12592;1;966;2;0.648148148;0.597222222;306;0.888888889;21006;34063;5.7;2.7;0
12593;10;20434;15;0.792271663;1;1081;1;7802;65412;4.7;4;1
12594;0;2635;1;1;1;96;1;4411;90116;3.3;2.3;0
12595;8;21629;15;0.62875817;0.860436204;1814;0.779563492;1015;32715;3.3;1.3;0
12596;0;1421;3;0.744047619;1;8300;0.892561984;3991;6472;11.3;2.7;0
12597;220;30812;53;0.782605154;0.994629031;1847;1;0;0;5.3;3.7;0
